subject,model,mean_acc,std_acc,n_folds
S10_Male,lda,0.9582272430998957,0.0023227717576366023,5
S10_Male,rf,0.9892138459354033,0.0034982827477950907,5
S10_Male,et,0.9896367348170874,0.0030370338623835124,5
S11_Male,lda,0.9776864484377429,0.004826521180276471,5
S11_Male,rf,0.9947122958086764,0.002758088146870355,5
S11_Male,et,0.9965100626870578,0.00207804965282155,5
S1_Male,lda,0.9255442940188108,0.005266091826672342,5
S1_Male,rf,0.9813641437648469,0.0027613126295289426,5
S1_Male,et,0.9830343961837811,0.0033891918967180732,5
S2_Male,lda,0.9808585343057075,0.001226861159066095,5
S2_Male,rf,0.9869921280618217,0.002984885884729183,5
S2_Male,et,0.990270537082855,0.0024492332126721,5
S3_Male,lda,0.9185697132181705,0.0036895181568633844,5
S3_Male,rf,0.9643607809552984,0.0035688517503661196,5
S3_Male,et,0.9640434326167234,0.004428309929635933,5
S4_Male,lda,0.9497672294377619,0.0013830163580916387,5
S4_Male,rf,0.9739842561236435,0.004035628894510193,5
S4_Male,et,0.9770510809520563,0.00413386373802546,5
S5-Male,lda,0.9438453875764024,0.007072612389504624,5
S5-Male,rf,0.9873094204996853,0.0018634408359708928,5
S5-Male,et,0.9886842425956713,0.0015555739001917352,5
S6_Male,lda,0.9671115431614983,0.003782354608395606,5
S6_Male,rf,0.9868868111215583,0.002864485371043804,5
S6_Male,et,0.9872041035594219,0.0028051205925862435,5
S7_Male,lda,0.9459601673890902,0.002557332413524831,5
S7_Male,rf,0.9822335241038278,0.002646068883913203,5
S7_Male,et,0.986780935174181,0.0011085744254155636,5
S8_Male,lda,0.9474397474182258,0.005550234647513825,5
S8_Male,rf,0.9766283038717951,0.0026230224253024972,5
S8_Male,et,0.9784260148494649,0.0031996464715326354,5
S9_Female,lda,0.9807529378618872,0.0027702889748184587,5
S9_Female,rf,0.9939718349855721,0.0012786655408086143,5
S9_Female,et,0.9960872856067967,0.0009800330337658217,5
